"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"327","Liverpool","Roberto Firmino",1550,25,50,58.3,75.4,43.4,68.1,"completed","0","0","0","0","Ragnar Klavan"
"328","Liverpool","Ragnar Klavan",1551,25,51,43.4,68.1,46.6,43,"completed","0","0","0","0","Joel Matip"
"329","Liverpool","Joel Matip",1554,25,54,53.4,43.1,59,72.7,"completed","0","0","0","0","Roberto Firmino"
"330","Liverpool","Roberto Firmino",1556,25,56,59,72.7,78.3,95.3,"completed","0","0","0","0","Alberto Moreno"
"331","Liverpool","Jordan Henderson",1558,25,58,55.5,31.3,89.4,73.3,"completed","1","1","0","0","Jordan Henderson"
"332","Liverpool","Alberto Moreno",1573,26,13,78.3,95.3,73.6,74.4,"completed","0","0","0","0","Jonathan Hogg"
"333","Hudd Town","Jonathan Hogg",1592,26,32,36.4,25.8,37.1,4.6,"completed","0","0","0","0","Tommy Smith"
"334","Hudd Town","Tommy Smith",1593,26,33,37.1,4.6,42.8,3.8,"completed","0","0","0","0","Tommy Smith"
"335","Hudd Town","Tommy Smith",1631,27,11,45.7,0,65.3,4.4,"completed","0","0","0","1","James Milner"
"336","Hudd Town","Laurent Depoitre",1634,27,14,65.3,4.4,68,11.4,"failed","0","0","1","0","Jonathan Hogg"
"337","Liverpool","Jordan Henderson",1636,27,16,29.7,84.1,48.7,81.7,"failed","0","0","0","0","Jordan Henderson"
"338","Hudd Town","Jonathan Hogg",1637,27,17,53.6,12.8,65.7,10,"failed","0","0","1","0","Jordan Henderson"
"339","Liverpool","Jordan Henderson",1638,27,18,33.2,89.6,62.6,100,"failed","0","0","0","0","Tommy Smith"
"340","Hudd Town","Tommy Smith",1650,27,30,45.1,0,69,4.6,"failed","0","0","0","1","Joseph Gomez"
"341","Liverpool","James Milner",1652,27,32,28.1,94.1,32.8,79.4,"completed","0","0","1","0","Jordan Henderson"
"342","Liverpool","Jordan Henderson",1654,27,34,32.7,79.4,30.2,51.8,"completed","0","0","0","0","Joseph Gomez"
"343","Liverpool","Joseph Gomez",1661,27,41,44.1,33.9,69.2,21,"failed","0","0","0","0","Christopher Schindler"
"344","Hudd Town","Christopher Schindler",1662,27,42,31.8,83.2,69.7,92.9,"failed","0","0","0","0","Mohamed Salah"
"345","Liverpool","Joseph Gomez",1665,27,45,32.1,4.1,29.1,31.2,"completed","0","0","0","0","Joel Matip"
"346","Liverpool","Joel Matip",1670,27,50,30.9,32.4,30,61.7,"completed","0","0","0","0","Ragnar Klavan"
"347","Liverpool","Ragnar Klavan",1672,27,52,30,61.7,45.4,90.3,"completed","0","0","0","0","James Milner"
"348","Liverpool","James Milner",1681,28,1,58.4,92.4,41.2,71.8,"completed","0","0","0","0","Ragnar Klavan"
"349","Liverpool","Mohamed Salah",1688,28,8,72.3,21.6,97.7,49.3,"failed","0","0","0","0","Aaron Mooy"
"350","Hudd Town","Tommy Smith",1699,28,19,33.2,26.7,47.1,11,"completed","0","0","0","0","Joseph Gomez"
"351","Hudd Town","Aaron Mooy",1703,28,23,48.5,8,90.1,24.9,"failed","0","0","0","0","Roberto Firmino"
"352","Liverpool","Ragnar Klavan",1704,28,24,43.5,63.9,47.5,40.6,"completed","0","0","0","0","Jordan Henderson"
"353","Liverpool","Joseph Gomez",1713,28,33,28.5,41.3,35.9,49.6,"completed","0","0","0","0","Georginio Wijnaldum"
"354","Liverpool","Georginio Wijnaldum",1717,28,37,44.3,47.6,47,57.9,"completed","0","0","0","0","Jordan Henderson"
"355","Liverpool","Jordan Henderson",1720,28,40,52.3,56.1,60.7,78.1,"completed","0","0","0","0","Alberto Moreno"
"356","Liverpool","Alberto Moreno",1724,28,44,71.4,79.6,78.3,95.4,"completed","0","0","0","0","James Milner"
"357","Liverpool","James Milner",1728,28,48,78.3,95.4,63.5,75.6,"completed","0","0","0","0","Jordan Henderson"
"358","Liverpool","Jordan Henderson",1731,28,51,62.6,72.9,61,27.7,"completed","0","0","0","0","Joseph Gomez"
"359","Liverpool","Joseph Gomez",1736,28,56,63.4,26.1,71,18,"completed","0","0","0","0","Alberto Moreno"
"360","Liverpool","Jordan Henderson",1737,28,57,47.2,37.6,58.9,7,"completed","0","0","0","0","Joseph Gomez"
